Abs,Side Plank Hip Adduction,Medium,None,N/A,Abs,Hip,2,30,Strength,5,Increase hold time,Low
Full Body,Side Plank Hip Adduction,Medium,None,N/A,Full Body,Hip,2,30,Strength,5,Increase hold time,Low
Hip,Side Plank Hip Adduction,Medium,None,N/A,Hip,Abs,2,30,Strength,5,Increase hold time,Low
Hip,Single-Leg Dumbbell Hip Thrust,Hard,Dumbbell,70%,Hip,Glutes,3,60,Strength,8,Increase weight,Medium
Triceps,Barbell JM Press,Hard,Barbell,75%,Triceps,Chest,4,90,Strength,10,Increase weight,Medium
Chest,Bench Press,Hard,Barbell,80%,Chest,Triceps,5,120,Strength,12,Increase weight,Medium
Hip,Smith Machine Squat,Medium,Smith Machine,65%,Hip,Legs,4,90,Strength,10,Increase weight,Medium
Leg,Smith Machine Squat,Medium,Smith Machine,65%,Legs,Hip,4,90,Strength,10,Increase weight,Medium
Hip,Dumbbell Cossack Squat,Medium,Dumbbell,60%,Hip,Legs,3,60,Strength,8,Increase depth,Low
Leg,Dumbbell Cossack Squat,Medium,Dumbbell,60%,Legs,Hip,3,60,Strength,8,Increase depth,Low
Shoulders,Seated Barbell Shoulder Press,Hard,Barbell,70%,Shoulders,Triceps,4,90,Strength,10,Increase weight,Medium
Hip,Dumbbell Goblet Squat,Medium,Dumbbell,60%,Hip,Legs,3,60,Strength,8,Increase weight,Low
Leg,Dumbbell Goblet Squat,Medium,Dumbbell,60%,Legs,Hip,3,60,Strength,8,Increase weight,Low
Hip,Curtsy Lunge,Medium,None,N/A,Hip,Legs,3,60,Strength,7,Increase reps,Low
Leg,Curtsy Lunge,Medium,None,N/A,Legs,Hip,3,60,Strength,7,Increase reps,Low
Abs,Medicine Ball Rotational Throw,Medium,Medicine Ball,N/A,Abs,Obliques,2,30,Strength,6,Increase weight,Low
Cardio,5 Dot Drills,Easy,None,N/A,Cardio,Legs,2,15,Cardio,10,Increase speed,Low
